component,estimate,SE,lower,upper,species
psi(Int),73.7689559008226,224.836562459742,-296.054279332385,443.59219113403,ACHU
psi(alt),24.5499398005236,106.823939155077,-151.159803963949,200.259683564996,ACHU
psi(treeheight),-32.3787263794885,103.378419227145,-202.421094193768,137.663641434791,ACHU
col(Int),41.5984275980698,63.5084761078557,-62.8637196700976,146.060574866237,ACHU
col(year_num),-31.706117149999,46.9985373687821,-109.011831802454,45.5995975024565,ACHU
ext(Int),-2.68336991739851,0.224421658535418,-3.05251069640696,-2.31422913839006,ACHU
ext(year_num),0.286359837288451,0.230859928431231,-0.0933709533094173,0.666090627886319,ACHU
p(Int),0.164929403186402,0.229142470227531,-0.211976420055973,0.541835226428776,ACHU
p(day),-0.145952905022771,0.0407615318619076,-0.212999658545927,-0.0789061514996139,ACHU
p(time),-0.00370934023964355,0.041574277518672,-0.0720929414041182,0.0646742609248311,ACHU
p(rain),0.0414051867174008,0.0406979588409304,-0.0255369984916253,0.108347371926427,ACHU
p(wind.L),0.426154184275826,0.12368893386591,0.222703992792723,0.62960437575893,ACHU
p(wind.Q),-0.0962984317300146,0.0972223472682451,-0.256214962254923,0.0636180987948939,ACHU
p(wind.C),0.0126210954007299,0.0761285148829231,-0.112599168418875,0.137841359220335,ACHU
p(activity),0.902918111013686,0.0559142668298648,0.810947326420251,0.994888895607121,ACHU
p(locationMidslope),0.253231285630001,0.233747910099716,-0.131249812089843,0.637712383349846,ACHU
p(locationRidge),0.591725351380015,0.251320806157326,0.17833941184377,1.00511129091626,ACHU
p(locationValley),0.338102899640244,0.247412676531748,-0.0688547387067723,0.745060537987261,ACHU
