component,estimate,SE,lower,upper,species
psi(Int),4.46641054027571,1.16859557977607,2.54424186244158,6.38857921810984,BANA
col(Int),8.38091101498828,66.1540101540729,-100.432752524323,117.1945745543,BANA
ext(Int),-30.7818539720049,596.551083314353,-1012.02106702345,950.457359079437,BANA
p(Int),3.59128180626722,0.144857595876055,3.35301226429902,3.82955134823542,BANA
p(day),0.00971769949304795,0.081359793569214,-0.124107252047297,0.143542651033393,BANA
p(time),0.0343368700961443,0.0780222559155488,-0.0939983205294821,0.162672060721771,BANA
p(rain),0.140285920845663,0.0785684333177235,0.0110523483391107,0.269519493352215,BANA
p(wind.L),0.765996413805446,0.231293119382771,0.385553087499775,1.14643974011112,BANA
p(wind.Q),-0.0594870089598801,0.18609072820373,-0.365579018187825,0.246605000268065,BANA
p(wind.C),-0.214157584999674,0.154276329935543,-0.467919565846914,0.0396043958475653,BANA
p(activity),1.44486889464409,0.147248205573024,1.20266714964521,1.68707063964297,BANA
