component,estimate,SE,lower,upper,species
psi(Int),0.19785504953028,0.320723096473037,-0.329687498950502,0.725397598011062,BRQD
psi(treeheight),0.813176094710567,0.402734748818825,0.150736382416533,1.4756158070046,BRQD
psi(canopy),0.59174036963318,0.360868249920839,-0.00183508010074163,1.1853158193671,BRQD
col(Int),3.28401201929451,1.40319572385092,0.97596044359553,5.59206359499349,BRQD
ext(Int),-3.24008680929221,0.430027494007276,-3.94741909249893,-2.53275452608549,BRQD
ext(alt),-1.07144173417824,0.496146051110518,-1.88752936584502,-0.255354102511452,BRQD
p(Int),-0.0663061331234919,0.062685416460263,-0.169414467745119,0.0368022014981351,BRQD
p(day),-0.141060671727512,0.0450720766827891,-0.215197640533432,-0.0669237029215911,BRQD
p(time),-0.185580493131054,0.0486311889618124,-0.265571680677853,-0.105589305584254,BRQD
p(rain),-0.0143956274782842,0.0442953023011042,-0.0872549161251673,0.0584636611685988,BRQD
p(wind.L),-0.0846544158630347,0.145791990084516,-0.324460899534023,0.155152067807954,BRQD
p(wind.Q),0.0390262849032187,0.116212404225047,-0.1521261096831,0.230178679489537,BRQD
p(wind.C),0.154510025674304,0.0858916186338358,0.0132308852397063,0.295789166108901,BRQD
p(activity),1.43982384931847,0.0674561397207003,1.32886837323873,1.55077932539821,BRQD
