component,estimate,SE,lower,upper,species
psi(Int),4.39671383124902,1.43113268811417,2.04271003855562,6.75071762394242,FOTH
col(Int),4.61183381873386,9.16944399429843,-10.4705593924163,19.694227029884,FOTH
ext(Int),-7.17769984007751,3.66994660317579,-13.2142248210294,-1.14117485912557,FOTH
p(Int),2.14144341317298,0.284634711954767,1.67326097485789,2.60962585148806,FOTH
p(day),-0.00527911238009724,0.050154412704694,-0.0877757800250341,0.0772175552648396,FOTH
p(time),-0.111337104766073,0.0500175687367225,-0.193608684113966,-0.0290655254181809,FOTH
p(rain),-0.00387904403450875,0.0470854757765096,-0.0813277596422362,0.0735696715732186,FOTH
p(wind.L),0.0404625232126393,0.14069498740246,-0.190960137110188,0.271885183535467,FOTH
p(wind.Q),-0.181624872315148,0.112835813814437,-0.367223269917845,0.00397352528754877,FOTH
p(wind.C),0.00230648640713895,0.0910274613330144,-0.147420363518655,0.152033336332932,FOTH
p(activity),2.15791972707378,0.101112363987542,1.99160468843924,2.32423476570833,FOTH
p(locationMidslope),-0.147603432266968,0.285059475549055,-0.616484544520716,0.32127767998678,FOTH
p(locationRidge),-0.537683501271674,0.299763325401251,-1.03075029428495,-0.0446167082583923,FOTH
p(locationValley),-0.3048846927332,0.304710601731927,-0.806089031162525,0.196319645696125,FOTH
