component,estimate,SE,lower,upper,species
psi(Int),0.487638008557623,0.554433634064219,-0.424324165336793,1.39960018245204,GTCA
col(Int),-1.69115641367059,0.324122926666956,-2.22429118517686,-1.15802164216432,GTCA
col(year_num),-0.740027762459254,0.308376111154794,-1.24726132735741,-0.232794197561101,GTCA
ext(Int),-0.231537230749761,0.470033570683728,-1.00467365427784,0.541599192778321,GTCA
ext(year_num),1.88524876327167,0.527172877785624,1.01812654321554,2.7523709833278,GTCA
p(Int),-1.91556968065131,0.154482968434975,-2.16967155158381,-1.66146780971881,GTCA
p(day),-0.433689783371912,0.0890224628701084,-0.580118704303963,-0.287260862439862,GTCA
p(time),-0.156560323580253,0.0884730760148441,-0.302085583550823,-0.0110350636096839,GTCA
p(rain),0.00597533639788019,0.0956103675218778,-0.151289723394644,0.163240396190404,GTCA
p(wind.L),-0.562289585134515,0.298620822515697,-1.05347712813269,-0.0711020421363402,GTCA
p(wind.Q),-0.119927978620878,0.233248545388877,-0.503587694484926,0.263731737243171,GTCA
p(wind.C),-0.206172849259731,0.15738273994346,-0.465044419875292,0.0526987213558304,GTCA
p(activity),0.616530961158,0.0955500701832339,0.45936508166164,0.77369684065436,GTCA
