component,estimate,SE,lower,upper,species
psi(Int),16.7930540840509,205.823169905311,-321.755933445349,355.342041613451,PETH
col(Int),5.11761854690874,154.280186808257,-248.650706291403,258.885943385221,PETH
ext(Int),-13.1395496278634,24.8639217844036,-54.0370615551773,27.7579622994506,PETH
p(Int),7.65580942122654,0.586705367622987,6.69076496933998,8.62085387311311,PETH
p(day),-0.129395995845366,0.150629602622801,-0.37715964404574,0.118367652355008,PETH
p(I(time^2)),-0.0264889874694251,0.017857786433256,-0.0558624322534909,0.00288445731464078,PETH
p(rain),-0.0691494292684422,0.117532658526089,-0.262473448930328,0.124174590393444,PETH
p(wind.L),-0.514556086304194,0.428773697226809,-1.2198260573291,0.190713884720715,PETH
p(wind.Q),0.233046685536166,0.34985672593842,-0.342416419037012,0.808509790109343,PETH
p(wind.C),-0.175547461739609,0.275287238980116,-0.62835467522951,0.277259751750292,PETH
p(activity),3.9907417500656,0.444470229369477,3.25965328121526,4.72183021891594,PETH
