component,estimate,SE,lower,upper,species
psi(Int),1.28583872681804,0.435619944757353,0.569307680711508,2.00236977292457,PTCA
psi(treeheight),1.15515886188924,0.624857860736333,0.12735914332794,2.18295858045053,PTCA
col(Int),0.874777779895426,0.564012885567689,-0.0529408605779519,1.8024964203688,PTCA
col(alt),1.00796197815992,0.562461141854467,0.0827957289613329,1.93312822735851,PTCA
ext(Int),-3.14852293713526,0.302362910754771,-3.64586566754585,-2.65118020672467,PTCA
p(Int),-0.606280522328835,0.245124283837787,-1.0094740896533,-0.203086955004369,PTCA
p(day),-0.0980049685338276,0.0424710443687874,-0.167863619904244,-0.0281463171634108,PTCA
p(time),-0.120188813306645,0.0460872013040216,-0.195995513527608,-0.0443821130856826,PTCA
p(rain),0.0773295586914222,0.0408863849750208,0.0100774400723252,0.144581677310519,PTCA
p(wind.L),0.328806434589666,0.131511414770316,0.112489407019192,0.54512346216014,PTCA
p(wind.Q),-0.191487298592732,0.102740015745576,-0.360479586124894,-0.0224950110605697,PTCA
p(wind.C),0.0212869035871533,0.0780376205992377,-0.107073559694166,0.149647366868472,PTCA
p(activity),0.918181617811977,0.056648472277445,0.825003172725162,1.01136006289879,PTCA
p(locationMidslope),0.749853336403107,0.248520868613604,0.34107288429089,1.15863378851532,PTCA
p(locationRidge),0.518224436647342,0.270732395439249,0.0729092740758336,0.96353959921885,PTCA
p(locationValley),1.26894613381561,0.261101410976297,0.839472530969097,1.69841973666211,PTCA
