component,estimate,SE,lower,upper,species
psi(Int),25.2093456625209,59.7580855860255,-73.0839581533296,123.502649478371,SBTH
psi(alt:treeheight),5.32750683944399,13.1127887354039,-16.2411112714336,26.8961249503215,SBTH
col(Int),14.0749423932566,198.915852120946,-313.112518426023,341.262403212537,SBTH
ext(Int),-8.9777733133997,2.64458822450185,-13.3277338462647,-4.62781278053468,SBTH
ext(alt),2.7480715722412,1.12199781684962,0.902549393764465,4.59359375071793,SBTH
p(Int),3.14543073768659,0.360886193702706,2.55182577305799,3.7390357023152,SBTH
p(day),-0.00853981555041009,0.0525903112405115,-0.0950431797368721,0.0779635486360519,SBTH
p(time),-0.0538122803761162,0.0503220051692645,-0.136584613094252,0.0289600523420192,SBTH
p(rain),0.11904092579235,0.0500904990560689,0.036649386744166,0.201432464840534,SBTH
p(wind.L),0.561171762101952,0.14809670588403,0.317574358289039,0.804769165914865,SBTH
p(wind.Q),0.0421837227161505,0.117041288922411,-0.150332065870952,0.234699511303253,SBTH
p(wind.C),-0.158862172823342,0.0953770770469575,-0.31574350393206,-0.00198084171462448,SBTH
p(activity),1.98150936469819,0.104860249398514,1.80902960315201,2.15398912624437,SBTH
p(locationMidslope),-0.753649507471598,0.358820256460993,-1.34385630773512,-0.163442707208075,SBTH
p(locationRidge),-1.17089275524365,0.371457653796485,-1.78188622434969,-0.559899286137622,SBTH
p(locationValley),-0.675245969677272,0.377149733725496,-1.29560207709944,-0.0548898622551087,SBTH
