species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
ACHU,year_fact,~alt + treeheight ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,18,4068.99571169473,0,1,0.345099081150233,-2011.39337823542,0.345099081150233,1,0.934,0.794,0.857
ACHU,constant,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,16,4069.42892795678,0.433216262053065,0.805245458196903,0.27788946772415,-2014.77243499288,0.622988548874383,1,0.934,0.794,0.857
ACHU,year_num_expansion,~alt + treeheight ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,19,4070.99979360507,2.0040819103383,0.367129381403904,0.126696012185741,-2010.74232104496,0.749684561060123,1,0.934,0.794,0.857
ACHU,expansion,~alt + treeheight ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,17,4072.06390521473,3.06819352000366,0.215650387283262,0.0744207505011455,-2014.53195260736,0.824105311561269,1,0.934,0.794,0.857
ACHU,year_num_contraction,~alt + treeheight ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,19,4072.17741464435,3.18170294962283,0.20375204811543,0.0703146445871131,-2011.3311315646,0.894419956148382,1,0.934,0.794,0.857
ACHU,contraction,~alt + treeheight ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,17,4072.37329460889,3.37758291416139,0.184742658563878,0.0637545217196456,-2014.68664730444,0.958174477868028,1,0.934,0.794,0.857
ACHU,year_num_shift,~alt + treeheight ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,20,4074.34097457169,5.34526287695917,0.0690702318961227,0.0238360735621855,-2010.7089488243,0.982010551430213,1,0.934,0.794,0.857
ACHU,shift,~alt + treeheight ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,18,4074.9038040389,5.9080923441752,0.0521283583538594,0.017989448569787,-2014.34742440751,1,1,0.934,0.794,0.857
ACHU,year_num,~alt + treeheight ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,40,4145.47664955459,76.4809378598675,2.46817164283561e-17,8.51763766063631e-18,-1996.29388033285,1,1,0.934,0.794,0.857
ACHU,year_fact_expansion,~alt + treeheight ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,41,4147.45306675027,78.4573550555397,9.18759446253893e-18,3.17063040700315e-18,-1993.59016973877,1,1,0.934,0.794,0.857
ACHU,year_fact_contraction,~alt + treeheight ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,41,4153.21533233034,84.2196206356102,5.15159537925063e-19,1.77781083183718e-19,-1996.4713025288,1,1,0.934,0.794,0.857
ACHU,year_fct_shift,~alt + treeheight ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,42,4154.95268371344,85.9569720187155,2.1611289723379e-19,7.45803622600958e-20,-1993.47634185672,1,1,0.934,0.794,0.857
ACHU,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,4382.61350749828,313.617795803556,7.92065191398872e-69,2.73340969762834e-69,-2187.05984016889,1,1,0.934,0.794,0.857
ACHU,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4069.42892795678,0,1,0.218101770733673,-2014.77243499288,0.218101770733673,1,0.934,0.794,0.857
ACHU,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4069.53069164537,0.1017636885922,0.950390958011217,0.207281950831518,-2014.82331683718,0.425383721565191,1,0.934,0.794,0.857
ACHU,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4069.82710885723,0.398180900454463,0.819475768211214,0.178729116120202,-2014.97152544311,0.604112837685393,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,14,4071.66169977347,2.23277181669073,0.327461133152871,0.071419852987096,-2018.87310340786,0.675532690672489,1,0.934,0.794,0.857
ACHU,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,4071.70004494864,2.27111699186389,0.321242658506483,0.0700635926554565,-2017.42145104575,0.745596283327946,1,0.934,0.794,0.857
ACHU,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,4072.50955923872,3.08063128194362,0.214313444645973,0.0467421417693197,-2014.75477961936,0.792338425097265,1,0.934,0.794,0.857
ACHU,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,4072.56237733342,3.13344937664124,0.208727712311637,0.0455238836563565,-2014.78118866671,0.837862308753622,1,0.934,0.794,0.857
ACHU,,~alt + treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,4072.61295667657,3.18402871979151,0.203515245611509,0.0443870354391683,-2014.80647833829,0.88224934419279,1,0.934,0.794,0.857
ACHU,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,4074.20542079149,4.77649283471328,0.0917905050661804,0.0200196716914721,-2018.67413896718,0.902269015884262,1,0.934,0.794,0.857
ACHU,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,4074.38026750412,4.95133954734365,0.0841066389757029,0.0183438068910585,-2018.76156232349,0.92061282277532,1,0.934,0.794,0.857
ACHU,,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,4074.57181274635,5.14288478956723,0.0764252305303702,0.0166684781074029,-2018.8573349446,0.937281300882723,1,0.934,0.794,0.857
ACHU,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,4074.57436291393,5.14543495715316,0.0763278440586979,0.0166472379454857,-2018.85861002839,0.953928538828209,1,0.934,0.794,0.857
ACHU,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,18,4075.72178868295,6.29286072616833,0.043005366743668,0.00937954663784499,-2014.75641672953,0.963308085466054,1,0.934,0.794,0.857
ACHU,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4076.23131186502,6.80238390823934,0.0333335142519072,0.00727009848311708,-2018.173626947,0.970578183949171,1,0.934,0.794,0.857
ACHU,,~alt:treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,4076.2975678625,6.86863990571555,0.0322473324832893,0.00703320031604288,-2016.64878393125,0.977611384265214,1,0.934,0.794,0.857
ACHU,,~dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4076.39148207026,6.96255411348056,0.0307680933316522,0.00671057563773224,-2018.25371204962,0.984321959902946,1,0.934,0.794,0.857
ACHU,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4076.89885875582,7.46993079904269,0.0238739971061836,0.00520696104334923,-2018.5074003924,0.989528920946296,1,0.934,0.794,0.857
ACHU,,~alt + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4077.12599379217,7.69706583538982,0.0213109784748787,0.00464796214143824,-2018.62096791058,0.994176883087734,1,0.934,0.794,0.857
ACHU,,~alt + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,4077.23181840332,7.80289044654182,0.0202126784934948,0.00440842097070164,-2018.67388021615,0.998585304058435,1,0.934,0.794,0.857
ACHU,,~alt + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,4079.50502228951,10.0760943327273,0.00648640282380915,0.00141469594156467,-2018.25251114475,1,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,p,14,4071.66169977347,0,1,0.670527135437176,-2018.87310340786,0.670527135437176,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,p,11,4073.08284012383,1.42114035035502,0.491363954044919,0.329472864562824,-2023.75763627813,1,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time,p,6,4369.95080583601,298.289106062543,1.68788794949867e-65,1.13177467171627e-65,-2178.44375734839,1,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time + rain + wind,p,10,4371.22825521228,299.566555438814,8.91146293463663e-66,5.97537771411647e-66,-2174.14746093948,1,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day + time + rain,p,7,4371.58535627882,299.923656505347,7.45427642834044e-66,4.99829462025198e-66,-2178.07472942146,1,1,0.934,0.794,0.857
ACHU,,~1 ~ 1 ~ 1 ~ day,p,5,4378.97937668519,307.317676911721,1.84847832710433e-67,1.23945487759097e-67,-2184.1146883426,1,1,0.934,0.794,0.857
