species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
BANA,constant,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,g_e,11,1214.05008893756,0,1,0.595316974508824,-594.241260684998,0.595316974508824,1,0.579,0.569,0.538
BANA,expansion,~1 ~ alt ~ 1 ~ day + time + rain + wind + activity,g_e,12,1216.75596988814,2.70588095057974,0.258479090714458,0.153876990257923,-594.240998642702,0.749193964766747,1,0.579,0.569,0.538
BANA,contraction,~1 ~ 1 ~ alt ~ day + time + rain + wind + activity,g_e,12,1216.75609193419,2.7060029966276,0.258463318019973,0.153867600505163,-594.241059665726,0.90306156527191,1,0.579,0.569,0.538
BANA,year_num,~1 ~ year_num ~ year_num ~ day + time + rain + wind + activity,g_e,13,1219.53868353188,5.48859459431651,0.0642934642744958,0.038274990632584,-594.241563988162,0.941336555904494,1,0.579,0.569,0.538
BANA,shift,~1 ~ alt ~ alt ~ day + time + rain + wind + activity,g_e,13,1219.54159334978,5.49150441221559,0.0641999911518556,0.038219344496016,-594.243018897112,0.97955590040051,1,0.579,0.569,0.538
BANA,year_num_contraction,~1 ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity,g_e,14,1222.3966708959,8.34658195834072,0.0154014906441786,0.00916876881321838,-594.240588969079,0.988724669213728,1,0.579,0.569,0.538
BANA,year_num_expansion,~1 ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity,g_e,14,1222.3967170872,8.34662814963485,0.015401134940894,0.00916855705701517,-594.240612064726,0.997893226270743,1,0.579,0.569,0.538
BANA,year_num_shift,~1 ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity,g_e,15,1225.33796144739,11.2878725098262,0.00353891089867713,0.00210677372925677,-594.240409295124,1,1,0.579,0.569,0.538
BANA,year_fact,~1 ~ year_fact ~ year_fact ~ day + time + rain + wind + activity,g_e,35,1308.88117796029,94.8310890227251,2.55676411536589e-21,1.52208507769235e-21,-594.240588980144,1,1,0.579,0.569,0.538
BANA,year_fact_expansion,~1 ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity,g_e,36,1314.84846149501,100.798372557451,1.29393215873637e-22,7.70299777958604e-23,-594.24055727812,1,1,0.579,0.569,0.538
BANA,year_fact_contraction,~1 ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,36,1314.84855618531,100.798467247747,1.29387089877699e-22,7.70263308864933e-23,-594.240604623268,1,1,0.579,0.569,0.538
BANA,year_fact_shift,~1 ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,37,1321.06447948891,107.014390551348,5.78256268876844e-24,3.44245772478524e-24,-594.240573077789,1,1,0.579,0.569,0.538
BANA,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,1346.58100595786,132.530917020295,1.66447404839508e-29,9.90889654639011e-30,-669.043589398683,1,1,0.579,0.569,0.538
BANA,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,11,1214.05008893756,0,1,0.340571543780258,-594.241260684998,0.340571543780258,1,0.579,0.569,0.538
BANA,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1216.66748638031,2.61739744274746,0.270171396002789,0.0920126894219374,-594.196756888786,0.432584233202195,1,0.579,0.569,0.538
BANA,,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1216.69000132236,2.63991238479616,0.267147004779152,0.0909826678339077,-594.20801435981,0.523566901036103,1,0.579,0.569,0.538
BANA,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1216.71388979959,2.66380086203117,0.263975117805199,0.0899024133904921,-594.219958598428,0.613469314426595,1,0.579,0.569,0.538
BANA,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1216.75162875729,2.70153981972135,0.259040745827005,0.0882219067082926,-594.238828077273,0.701691221134888,1,0.579,0.569,0.538
BANA,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1216.75602502345,2.70593608588752,0.258471965150566,0.0880281961952453,-594.241026210356,0.789719417330133,1,0.579,0.569,0.538
BANA,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1219.42506302309,5.37497408552963,0.0680517357816429,0.0231764847120804,-594.184753733769,0.812895902042214,1,0.579,0.569,0.538
