species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
BRQD,contraction,~treeheight + canopy ~ 1 ~ alt ~ day + time + rain + wind + activity,g_e,14,3472.71507237175,0,1,0.459052589561267,-1719.399789707,0.459052589561267,1,0.992,0.999,0.984
BRQD,shift,~treeheight + canopy ~ alt ~ alt ~ day + time + rain + wind + activity,g_e,15,3474.01691259235,1.30184022060666,0.521565657977999,0.239426065921027,-1718.57988486761,0.698478655482294,1,0.992,0.999,0.984
BRQD,constant,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,g_e,13,3475.38984973208,2.67477736033425,0.26253032490711,0.12051522548697,-1722.16714708826,0.818993880969264,1,0.992,0.999,0.984
BRQD,expansion,~treeheight + canopy ~ alt ~ 1 ~ day + time + rain + wind + activity,g_e,14,3476.91768845676,4.2026160850146,0.122296354753829,0.0561404583436487,-1721.50109774951,0.875134339312913,1,0.992,0.999,0.984
BRQD,year_num_contraction,~treeheight + canopy ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity,g_e,16,3477.76566964009,5.05059726833861,0.0800344082085253,0.0367400023421271,-1718.94080583454,0.91187434165504,1,0.992,0.999,0.984
BRQD,year_fact_expansion,~treeheight + canopy ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity,g_e,38,3477.83689328287,5.12182091112436,0.0772343899427422,0.0354546467064005,-1669.38653174782,0.94732898836144,1,0.992,0.999,0.984
BRQD,year_fact,~treeheight + canopy ~ year_fact ~ year_fact ~ day + time + rain + wind + activity,g_e,37,3479.03224933465,6.31717696290752,0.0424856680849737,0.0195031559536477,-1673.22445800066,0.966832144315088,1,0.992,0.999,0.984
BRQD,year_num_shift,~treeheight + canopy ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity,g_e,17,3479.46942072313,6.75434835138367,0.034143802927238,0.0156738011512182,-1718.23471036157,0.982505945466306,1,0.992,0.999,0.984
BRQD,year_num,~treeheight + canopy ~ year_num ~ year_num ~ day + time + rain + wind + activity,g_e,15,3479.94221402351,7.22714165176421,0.0269554216926124,0.0123739561307097,-1721.54253558318,0.994879901597016,1,0.992,0.999,0.984
BRQD,year_num_expansion,~treeheight + canopy ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity,g_e,16,3482.78687529021,10.0718029184609,0.0065003356871935,0.0029839959302237,-1721.4514086596,0.997863897527239,1,0.992,0.999,0.984
BRQD,year_fact_shift,~treeheight + canopy ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,39,3484.48476632886,11.769693957111,0.0027812717869911,0.00127675001609196,-1669.32933968617,0.999140647543331,1,0.992,0.999,0.984
BRQD,year_fact_contraction,~treeheight + canopy ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,38,3485.27655418858,12.5614818168328,0.00187201309002508,0.000859352456668603,-1673.10636220067,1,1,0.992,0.999,0.984
BRQD,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,4236.47462697478,763.759554603031,1.41814281026438e-166,6.51002129419555e-167,-2113.99039990714,1,1,0.992,0.999,0.984
BRQD,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,3475.38984973208,0,1,0.190374738886981,-1722.16714708826,0.190374738886981,1,0.992,0.999,0.984
BRQD,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,3476.04020944074,0.650359708659835,0.722397415654341,0.137526219377825,-1723.883118419,0.327900958264806,1,0.992,0.999,0.984
BRQD,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,3476.97614111186,1.58629137977687,0.452419383426163,0.0861292219871647,-1722.96029277815,0.41403018025197,1,0.992,0.999,0.984
BRQD,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,11,3477.07342295769,1.68357322560632,0.430939912477339,0.0820400733138519,-1725.75292769506,0.496070253565822,1,0.992,0.999,0.984
BRQD,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,3477.11201812848,1.72216839639441,0.42270353937161,0.0804720759344729,-1721.59826258536,0.576542329500295,1,0.992,0.999,0.984
BRQD,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,3477.30366757821,1.91381784613395,0.384078268453149,0.073118800068932,-1724.51484748774,0.649661129569227,1,0.992,0.999,0.984
BRQD,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,3477.65710626722,2.26725653513631,0.321863329022802,0.0612746472200104,-1723.30077535583,0.710935776789238,1,0.992,0.999,0.984
BRQD,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,3477.85916620517,2.46931647308838,0.290934176048321,0.0553865177984981,-1721.97183662371,0.766322294587736,1,0.992,0.999,0.984
BRQD,,~alt + treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,3478.30858402107,2.91873428898953,0.232383293250571,0.0442399087742741,-1722.19654553166,0.81056220336201,1,0.992,0.999,0.984
BRQD,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,3478.96796226228,3.57811253020236,0.167117810179595,0.0318150094763044,-1725.34699482977,0.842377212838314,1,0.992,0.999,0.984
BRQD,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,15,3479.49636239525,4.10651266316654,0.128316381847985,0.0244281976892322,-1721.31960976905,0.866805410527546,1,0.992,0.999,0.984
BRQD,,~dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,3479.53747799379,4.14762826171091,0.125705409305469,0.0239311344732097,-1724.24096121912,0.890736545000756,1,0.992,0.999,0.984
BRQD,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,3479.56688941861,4.17703968652495,0.123870347722599,0.0235817851035293,-1725.64645840793,0.914318330104285,1,0.992,0.999,0.984
