species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
CAEL,year_num,~treeheight + canopy ~ year_num ~ year_num ~ day + I(time^2) + rain + wind + activity,g_e,15,1456.6948757361,0,1,0.652458073528215,-709.918866439477,0.652458073528215,1,0.457,0.428,0.376
CAEL,year_num_expansion,~treeheight + canopy ~ year_num + alt ~ year_num ~ day + I(time^2) + rain + wind + activity,g_e,16,1459.51496231692,2.82008658082418,0.244132714318866,0.159286360469702,-709.815452172953,0.811744433997916,1,0.457,0.428,0.376
CAEL,year_num_contraction,~treeheight + canopy ~ year_num ~ year_num + alt ~ day + I(time^2) + rain + wind + activity,g_e,16,1459.5762309031,2.88135516700004,0.236767274718925,0.154480719937635,-709.846086466041,0.966225153935551,1,0.457,0.428,0.376
CAEL,year_num_shift,~treeheight + canopy ~ year_num + alt ~ year_num + alt ~ day + I(time^2) + rain + wind + activity,g_e,17,1462.61694456467,5.92206882856908,0.0517653426584915,0.0337747157464872,-709.808472282333,0.999999869682039,1,0.457,0.428,0.376
CAEL,year_fact_shift,~treeheight + canopy ~ year_fact + alt ~ year_fact + alt ~ day + I(time^2) + rain + wind + activity,g_e,39,1488.09607492662,31.4011991905195,1.5181554158241e-07,9.90532757925019e-08,-671.134993985047,0.999999968735315,1,0.457,0.428,0.376
CAEL,year_fact,~treeheight + canopy ~ year_fact ~ year_fact ~ day + I(time^2) + rain + wind + activity,g_e,37,1490.83120887307,34.1363331369714,3.86713597709873e-08,2.52314408968948e-08,-679.123937769867,0.999999993966755,1,0.457,0.428,0.376
CAEL,year_fact_contraction,~treeheight + canopy ~ year_fact ~ year_fact + alt ~ day + I(time^2) + rain + wind + activity,g_e,38,1495.38440343799,38.68952770189,3.96895162691844e-09,2.58957453242588e-09,-678.160286825376,0.99999999655633,1,0.457,0.428,0.376
CAEL,year_fact_expansion,~treeheight + canopy ~ year_fact + alt ~ year_fact ~ day + I(time^2) + rain + wind + activity,g_e,38,1496.42313957373,39.7282638376335,2.36111488911735e-09,1.54052847193229e-09,-678.679654893248,0.999999998096858,1,0.457,0.428,0.376
CAEL,constant,~treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,g_e,13,1496.4637544978,39.7688787616987,2.31365021287116e-09,1.50955976070806e-09,-732.70409947112,0.999999999606418,1,0.457,0.428,0.376
CAEL,shift,~treeheight + canopy ~ alt ~ alt ~ day + I(time^2) + rain + wind + activity,g_e,15,1499.53922084386,42.8443451077608,4.97128508979292e-10,3.24355509264582e-10,-731.341038993357,0.999999999930774,1,0.457,0.428,0.376
CAEL,contraction,~treeheight + canopy ~ 1 ~ alt ~ day + I(time^2) + rain + wind + activity,g_e,14,1503.8997907475,47.2049150113994,5.61801566611118e-11,3.66551967856223e-11,-734.992148894875,0.999999999967429,1,0.457,0.428,0.376
CAEL,expansion,~treeheight + canopy ~ alt ~ 1 ~ day + I(time^2) + rain + wind + activity,g_e,14,1504.13604682382,47.4411710877255,4.9920691297178e-11,3.25711580729535e-11,-735.110276933038,1,1,0.457,0.428,0.376
CAEL,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,1531.71012193376,75.0152461976613,5.13625123707947e-17,3.35118858730178e-17,-761.608147386632,1,1,0.457,0.428,0.376
CAEL,,~treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,1496.4637544978,0,1,0.444440059364005,-732.70409947112,0.444440059364005,1,0.457,0.428,0.376
CAEL,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,14,1497.69155904424,1.22780454644726,0.541234697152962,0.240546380932522,-731.888033043248,0.684986440296526,1,0.457,0.428,0.376
CAEL,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,14,1500.37155114671,3.90779664891079,0.141720520755273,0.0629862766575714,-733.22802909448,0.747972716954098,1,0.457,0.428,0.376
CAEL,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,11,1500.49774642377,4.03399192597249,0.133054566164382,0.0591347792847499,-737.4650894281,0.807107496238848,1,0.457,0.428,0.376
CAEL,,~alt + treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,1501.65578343898,5.1920289411878,0.0745701884261401,0.0331419789708987,-735.300113941714,0.840249475209746,1,0.457,0.428,0.376
