species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
FOTH,constant,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,14,2610.09546797867,0,1,0.360435550662933,-1288.08998751046,0.360435550662933,1,0.651,0.928,0.633
FOTH,year_num,~1 ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,16,2611.49508386264,1.39961588397955,0.496680686135941,0.179021376611052,-1285.80551294582,0.539456927273985,1,0.651,0.928,0.633
FOTH,contraction,~1 ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,15,2611.86776320196,1.77229522329571,0.412240809357486,0.148586243126499,-1287.50531017241,0.688043170400484,1,0.651,0.928,0.633
FOTH,year_num_contraction,~1 ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,17,2612.10890729374,2.0134393150729,0.365415704316614,0.131708810606242,-1284.55445364687,0.819751981006726,1,0.651,0.928,0.633
FOTH,expansion,~1 ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,15,2613.02172028208,2.92625230341901,0.231511402523085,0.0834449398531562,-1288.08228871247,0.903196920859882,1,0.651,0.928,0.633
FOTH,year_num_expansion,~1 ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,17,2614.6126937647,4.51722578603813,0.104495330475663,0.037663831981701,-1285.80634688235,0.940860752841583,1,0.651,0.928,0.633
FOTH,shift,~1 ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,16,2614.8992609198,4.80379294113709,0.0905460723960039,0.0326360234644195,-1287.50760147439,0.973496776306003,1,0.651,0.928,0.633
FOTH,year_num_shift,~1 ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,18,2615.31556155603,5.22009357736943,0.0735311032589624,0.0265032236939971,-1284.55330316608,1,1,0.651,0.928,0.633
FOTH,year_fact,~1 ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,38,2708.41226813844,98.3168001597705,4.47484612644525e-22,1.61289362771719e-22,-1284.6742191756,1,1,0.651,0.928,0.633
FOTH,year_fact_contraction,~1 ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,39,2711.30915637313,101.213688394465,1.0513003732501e-22,3.78926028944547e-23,-1282.7415347083,1,1,0.651,0.928,0.633
FOTH,year_fact_expansion,~1 ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,39,2715.17056139638,105.075093417715,1.52487193579512e-23,5.49618055868768e-24,-1284.67223721993,1,1,0.651,0.928,0.633
FOTH,year_fact_shift,~1 ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,40,2718.3720834914,108.276615512733,3.07632122452496e-24,1.10881553457772e-24,-1282.74159730125,1,1,0.651,0.928,0.633
FOTH,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,3603.6447284708,993.549260492131,1.79274836298263e-216,6.46170243411716e-217,-1797.57545065515,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,14,2610.09546797867,0,1,0.318033754269764,-1288.08998751046,0.318033754269764,1,0.651,0.928,0.633
FOTH,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2612.3005454118,2.20507743313192,0.332027090147072,0.105595821998739,-1287.72170127733,0.423629576268502,1,0.651,0.928,0.633
FOTH,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2612.75625891811,2.66079093944563,0.264372689229513,0.0840794388820557,-1287.94955803048,0.507709015150558,1,0.651,0.928,0.633
FOTH,,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2612.85540277932,2.75993480065745,0.251586754571569,0.0800130800809418,-1287.99912996109,0.5877220952315,1,0.651,0.928,0.633
FOTH,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2612.91346874418,2.81800076551326,0.244387455007996,0.077723459812626,-1288.02816294352,0.665445555044126,1,0.651,0.928,0.633
FOTH,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2612.94475171427,2.84928373560069,0.240594612458796,0.0765172078573497,-1288.04380442856,0.741962762901476,1,0.651,0.928,0.633
FOTH,,~alt + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2614.0990081566,4.0035401779387,0.135095939636817,0.0429650688692984,-1287.10747509279,0.784927831770774,1,0.651,0.928,0.633
FOTH,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2614.34530245604,4.24983447737714,0.119442853104837,0.0379868589936233,-1287.23062224251,0.822914690764397,1,0.651,0.928,0.633
FOTH,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2614.56717951989,4.47171154122361,0.106900608299005,0.0339980017910541,-1287.34156077444,0.856912692555452,1,0.651,0.928,0.633
FOTH,,~dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2615.30921979841,5.21375181974918,0.0737646315254202,0.0234596426963552,-1287.7125809137,0.880372335251807,1,0.651,0.928,0.633
FOTH,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2615.56394247278,5.46847449411507,0.0649435240809453,0.0206542327789719,-1287.83994225088,0.901026568030779,1,0.651,0.928,0.633
FOTH,,~alt + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2615.59699214936,5.50152417069558,0.063879161279474,0.0203157294813149,-1287.85646708917,0.921342297512093,1,0.651,0.928,0.633
FOTH,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2615.78141040353,5.68594242486142,0.0582523285381924,0.018526206739957,-1287.94867621626,0.93986850425205,1,0.651,0.928,0.633
FOTH,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2615.85858083135,5.76311285268821,0.0560474611673694,0.0178249844923473,-1287.98726143017,0.957693488744398,1,0.651,0.928,0.633
FOTH,,~alt + treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2616.83706978321,6.74160180454874,0.0343621056312868,0.0109283094585323,-1286.91853489161,0.96862179820293,1,0.651,0.928,0.633
FOTH,,~alt + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2617.17181107649,7.07634309782316,0.029066425060414,0.00924410428516423,-1287.08590553824,0.977865902488094,1,0.651,0.928,0.633
FOTH,,~alt:treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2617.46341213453,7.36794415586701,0.025122985926799,0.00798995753276634,-1287.23170606727,0.985855860020861,1,0.651,0.928,0.633
FOTH,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2617.70886923562,7.61340125695779,0.0222213747115266,0.007067147224542,-1287.35443461781,0.992923007245403,1,0.651,0.928,0.633
FOTH,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2618.47422937593,8.37876139726632,0.0151556678931301,0.0048200139585179,-1287.73711468797,0.997743021203921,1,0.651,0.928,0.633
FOTH,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,18,2619.99172881786,9.89626083918984,0.00709666431873447,0.0022569787960794,-1286.89138679699,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,p,14,2610.09546797867,0,1,0.772583910040245,-1288.08998751046,0.772583910040245,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,p,11,2612.54138655721,2.44591857854311,0.294357786907456,0.227416089959755,-1293.48690949482,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time + rain + wind,p,10,3393.64224540094,783.546777422271,7.16108990564072e-171,5.53254283944964e-171,-1685.3544560338,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time + rain,p,7,3453.95649667641,843.861028697742,5.726718975112e-184,4.42437093749369e-184,-1719.26029962025,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + time,p,6,3468.57414719618,858.478679217514,3.83462935101243e-187,2.96257293756027e-187,-1727.75542802847,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day,p,5,3538.38158330336,928.286115324694,2.66214216118979e-202,2.05672819997499e-202,-1763.81579165168,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ day + I(time^2),p,6,3561.43816168067,951.342693702002,2.62155433308035e-207,2.02537069703416e-207,-1774.18743527071,1,1,0.651,0.928,0.633
FOTH,,~1 ~ 1 ~ 1 ~ 1,p,4,3603.6447284708,993.549260492131,1.79274836298263e-216,1.38504853999137e-216,-1797.57545065515,1,1,0.651,0.928,0.633
