species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
GTCA,year_num,~1 ~ year_num ~ year_num ~ day + time + rain + wind + activity,g_e,13,1507.71473095416,0,1,0.631618298721672,-738.329587699301,0.631618298721672,1,0.617,0.806,0.517
GTCA,year_num_contraction,~1 ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity,g_e,14,1510.27835789749,2.56362694333097,0.277533544598416,0.175295265277447,-738.181432469871,0.806913563999119,1,0.617,0.806,0.517
GTCA,year_num_expansion,~1 ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity,g_e,14,1510.57466816853,2.85993721437558,0.239316434941733,0.151156639494033,-738.329587605393,0.958070203493152,1,0.617,0.806,0.517
GTCA,year_num_shift,~1 ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity,g_e,15,1513.13930809537,5.42457714121611,0.0663847066470737,0.041929795473562,-738.141082619115,0.999999998966714,1,0.617,0.806,0.517
GTCA,constant,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,g_e,11,1549.15646618001,41.4417352258522,1.00240110205981e-09,6.33134878719744e-10,-761.794449306221,0.999999999599849,1,0.617,0.806,0.517
GTCA,contraction,~1 ~ 1 ~ alt ~ day + time + rain + wind + activity,g_e,12,1551.7377189312,44.022987977045,2.75758953547234e-10,1.74174401096773e-10,-761.731873164231,0.999999999774024,1,0.617,0.806,0.517
GTCA,expansion,~1 ~ alt ~ 1 ~ day + time + rain + wind + activity,g_e,12,1551.84501306486,44.1302821107004,2.61355110858842e-10,1.65076670482876e-10,-761.785520231059,0.9999999999391,1,0.617,0.806,0.517
GTCA,shift,~1 ~ alt ~ alt ~ day + time + rain + wind + activity,g_e,13,1554.44596609657,46.7312351424112,7.11936439966352e-11,4.49672083009511e-11,-761.695205270506,0.999999999984068,1,0.617,0.806,0.517
GTCA,year_fact,~1 ~ year_fact ~ year_fact ~ day + time + rain + wind + activity,g_e,35,1556.84428134017,49.1295503860147,2.14611843182009e-11,1.35552767276143e-11,-718.222140670086,0.999999999997623,1,0.617,0.806,0.517
GTCA,year_fact_contraction,~1 ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,36,1561.1589210867,53.4441901325392,2.48165592651074e-12,1.56745929431527e-12,-717.39578707396,0.99999999999919,1,0.617,0.806,0.517
GTCA,year_fact_expansion,~1 ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity,g_e,36,1562.77808656097,55.0633556068169,1.10444540441453e-12,6.97587927367275e-13,-718.205369811099,0.999999999999888,1,0.617,0.806,0.517
GTCA,year_fact_shift,~1 ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity,g_e,37,1566.43168483146,58.7169538773051,1.77736027190647e-13,1.12261327115705e-13,-716.924175749064,1,1,0.617,0.806,0.517
GTCA,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,1620.26917970435,112.554448750189,3.62336426691861e-25,2.28858317392003e-25,-805.887676271926,1,1,0.617,0.806,0.517
GTCA,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,11,1549.15646618001,0,1,0.249869683317775,-761.794449306221,0.249869683317775,1,0.617,0.806,0.517
GTCA,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1549.49195964822,0.335493468207233,0.845567961095676,0.211281798662633,-760.608993522738,0.461151481980408,1,0.617,0.806,0.517
GTCA,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1551.78763077404,2.63116459402909,0.268318036949269,0.0670445429209608,-761.756829085649,0.528196024901369,1,0.617,0.806,0.517
GTCA,,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1551.80089799045,2.64443181044112,0.266544010820145,0.0666012675738792,-761.763462693855,0.594797292475248,1,0.617,0.806,0.517
GTCA,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1551.82234558881,2.66587940879572,0.26370091800064,0.0658908648714265,-761.774186493033,0.660688157346674,1,0.617,0.806,0.517
GTCA,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,12,1551.86805680777,2.71159062776405,0.257742226945044,0.0644019686243761,-761.797042102517,0.72509012597105,1,0.617,0.806,0.517
GTCA,,~alt + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1552.15459100617,2.99812482615766,0.223339462172391,0.0558057606853774,-760.549517725306,0.780895886656428,1,0.617,0.806,0.517
GTCA,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1552.19096802411,3.03450184409962,0.219313970185767,0.0547999122774814,-760.567706234277,0.835695798933909,1,0.617,0.806,0.517
GTCA,,~dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1553.57660512374,4.42013894373349,0.109693027671396,0.0274089620864196,-761.260524784094,0.863104761020329,1,0.617,0.806,0.517
GTCA,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1554.53192346166,5.37545728165446,0.0680352966000512,0.0169999580158857,-761.738183953054,0.880104719036215,1,0.617,0.806,0.517
GTCA,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1554.55482006376,5.398353883754,0.0672608495525034,0.0168064471773685,-761.749632254104,0.896911166213583,1,0.617,0.806,0.517
GTCA,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1554.56942123448,5.41295505447329,0.0667715940777099,0.0166841970668204,-761.756932839463,0.913595363280404,1,0.617,0.806,0.517
GTCA,,~alt + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1554.57128557597,5.41481939595678,0.0667093805526497,0.0166686517930155,-761.757865010205,0.930264015073419,1,0.617,0.806,0.517
GTCA,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,13,1554.6013246539,5.44485847388637,0.0657149232518236,0.016420167062185,-761.77288454917,0.946684182135604,1,0.617,0.806,0.517
GTCA,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,1554.64694595529,5.49047977528153,0.0642328904196375,0.0160498519877402,-760.365726498772,0.962734034123344,1,0.617,0.806,0.517
GTCA,,~alt:treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,1554.83813118963,5.68166500962434,0.0583770465571845,0.0145866541362707,-760.461319115944,0.977320688259615,1,0.617,0.806,0.517
GTCA,,~alt + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,1555.6018799451,6.44541376508846,0.0398470508585196,0.00995656997916556,-760.843193493676,0.98727725823878,1,0.617,0.806,0.517
GTCA,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity,psi,14,1556.50660167132,7.35013549130781,0.0253476882688406,0.00633361884057288,-761.295554356785,0.993610877079353,1,0.617,0.806,0.517
