species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
PETH,constant,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,g_e,11,401.357531383208,0,1,0.596093544446731,-187.89498190782,0.596093544446731,1,0.583,0.646,0.504
PETH,contraction,~1 ~ 1 ~ alt ~ day + I(time^2) + rain + wind + activity,g_e,12,404.0618374786,2.70430609539181,0.258682704437961,0.15419909017549,-187.89393243793,0.750292634622221,1,0.583,0.646,0.504
PETH,expansion,~1 ~ alt ~ 1 ~ day + I(time^2) + rain + wind + activity,g_e,12,404.077382162878,2.71985077967065,0.256679927170781,0.15300524757556,-187.901704780069,0.903297882197781,1,0.583,0.646,0.504
PETH,year_num,~1 ~ year_num ~ year_num ~ day + I(time^2) + rain + wind + activity,g_e,13,406.84653329735,5.48900191414225,0.0642803716064346,0.0383171145492326,-187.895488870897,0.941614996747014,1,0.583,0.646,0.504
PETH,shift,~1 ~ alt ~ alt ~ day + I(time^2) + rain + wind + activity,g_e,13,406.860591297454,5.50305991424642,0.0638301291021116,0.0380487278989701,-187.902517870949,0.979663724645984,1,0.583,0.646,0.504
PETH,year_num_contraction,~1 ~ year_num ~ year_num + alt ~ day + I(time^2) + rain + wind + activity,g_e,14,409.705444951026,8.3479135678183,0.0153912396716751,0.00917461860931793,-187.89497599664,0.988838343255302,1,0.583,0.646,0.504
PETH,year_num_expansion,~1 ~ year_num + alt ~ year_num ~ day + I(time^2) + rain + wind + activity,g_e,14,409.726998461314,8.36946707810586,0.0152262626057746,0.00907627684535291,-187.905752751784,0.997914620100655,1,0.583,0.646,0.504
PETH,year_num_shift,~1 ~ year_num + alt ~ year_num + alt ~ day + I(time^2) + rain + wind + activity,g_e,15,412.668424511097,11.3108931278895,0.0034984104739483,0.00208537989934541,-187.905640826977,1,1,0.583,0.646,0.504
PETH,year_fact,~1 ~ year_fact ~ year_fact ~ day + I(time^2) + rain + wind + activity,g_e,35,495.463803343968,94.1062719607599,3.67352235852021e-21,2.18976296329463e-21,-187.531901671984,1,1,0.583,0.646,0.504
PETH,year_fact_contraction,~1 ~ year_fact ~ year_fact + alt ~ day + I(time^2) + rain + wind + activity,g_e,36,498.776986506435,97.4194551232267,7.00864568113888e-22,4.17780844584135e-22,-186.20481978383,1,1,0.583,0.646,0.504
PETH,year_fact_expansion,~1 ~ year_fact + alt ~ year_fact ~ day + I(time^2) + rain + wind + activity,g_e,36,501.44949663245,100.091965249243,1.84206904574364e-22,1.09804546659294e-22,-187.541074846837,1,1,0.583,0.646,0.504
PETH,year_fact_shift,~1 ~ year_fact + alt ~ year_fact + alt ~ day + I(time^2) + rain + wind + activity,g_e,37,504.99778078667,103.640249403462,3.12468174728067e-23,1.86260261800454e-23,-186.207223726668,1,1,0.583,0.646,0.504
PETH,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,606.300404154695,204.942872771487,3.14210450200335e-45,1.87298820962121e-45,-298.9032884971,1,1,0.583,0.646,0.504
PETH,,~1 ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,11,401.357531383208,0,1,0.346369311110865,-187.89498190782,0.346369311110865,1,0.583,0.646,0.504
PETH,,~alt:treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,12,404.063690135363,2.70615875215572,0.258443190258438,0.0895167897711093,-187.894858766312,0.435886100881974,1,0.583,0.646,0.504
PETH,,~treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,12,404.063800431168,2.70626904796018,0.258428938051643,0.0895118532440598,-187.894913914214,0.525397954126034,1,0.583,0.646,0.504
PETH,,~dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,12,404.06381399843,2.70628261522234,0.258427184971013,0.0895112460307297,-187.894920697845,0.614909200156763,1,0.583,0.646,0.504
PETH,,~canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,12,404.063841631128,2.70631024791987,0.25842361447556,0.0895100093206793,-187.894934514194,0.704419209477443,1,0.583,0.646,0.504
PETH,,~alt ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,12,404.064083567858,2.70655218465055,0.258392355284077,0.0894991820960594,-187.895055482559,0.793918391573502,1,0.583,0.646,0.504
PETH,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.84513974382,5.48760836061223,0.0643251762834325,0.0222802669963774,-187.894792094132,0.81619865856988,1,0.583,0.646,0.504
PETH,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.845284598032,5.48775321482412,0.0643205175657854,0.0222786533595554,-187.894864521238,0.838477311929435,1,0.583,0.646,0.504
PETH,,~treeheight + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.845438409605,5.48790702639735,0.0643155711359936,0.0222769400680759,-187.894941427025,0.860754251997511,1,0.583,0.646,0.504
PETH,,~treeheight + dbh ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.845461195165,5.48792981195771,0.0643148384070034,0.0222766862732403,-187.894952819805,0.883030938270751,1,0.583,0.646,0.504
PETH,,~dbh + canopy ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.845479436449,5.48794805324138,0.0643142518170727,0.0222764830964901,-187.894961940447,0.905307421367241,1,0.583,0.646,0.504
PETH,,~alt + treeheight ~ 1 ~ 1 ~ day + I(time^2) + rain + wind + activity,psi,13,406.845795441602,5.48826405839424,0.064304090802339,0.0222729636328166,-187.895119943023,0.927580385000058,1,0.583,0.646,0.504
