species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
PTCA,expansion,~treeheight ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,16,3913.99496979937,0,1,0.299088028175932,-1937.05545591418,0.299088028175932,1,0.864,0.941,0.829
PTCA,shift,~treeheight ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,17,3914.18866287796,0.193693078591423,0.907695291004259,0.271480794771042,-1935.59433143898,0.570568822946974,1,0.864,0.941,0.829
PTCA,contraction,~treeheight ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,16,3914.30329806494,0.308328265577075,0.857131326110753,0.256357718214287,-1937.20962004696,0.82692654116126,1,0.864,0.941,0.829
PTCA,constant,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,15,3916.15623404747,2.16126424810273,0.339380926979079,0.101504772250693,-1939.64954559516,0.928431313411953,1,0.864,0.941,0.829
PTCA,year_num_contraction,~treeheight ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,18,3919.01576786152,5.02079806215124,0.0812358171571132,0.0242966603707815,-1936.40340631882,0.952727973782734,1,0.864,0.941,0.829
PTCA,year_num_expansion,~treeheight ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,18,3919.36885146322,5.37388166385199,0.068088916530667,0.0203645797857928,-1936.57994811967,0.973092553568527,1,0.864,0.941,0.829
PTCA,year_num_shift,~treeheight ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,19,3919.95539351121,5.96042371184603,0.0507820742419826,0.0151883104517183,-1935.22012099803,0.988280864020246,1,0.864,0.941,0.829
PTCA,year_num,~treeheight ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,17,3920.47399955758,6.47902975821762,0.0391828989318854,0.0117191359797544,-1938.73699977879,1,1,0.864,0.941,0.829
PTCA,year_fact_expansion,~treeheight ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,40,3994.09858364231,80.1036138429413,4.03386410848781e-18,1.20648046213728e-18,-1920.60484737671,1,1,0.864,0.941,0.829
PTCA,year_fact_shift,~treeheight ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,41,4000.15458533791,86.1596155385419,1.95288740443973e-19,5.84085243043492e-20,-1919.94092903259,1,1,0.864,0.941,0.829
PTCA,year_fact,~treeheight ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,39,4006.74828881324,92.7533190138788,7.22557955448854e-21,2.1610843413803e-21,-1930.46110092836,1,1,0.864,0.941,0.829
PTCA,year_fact_contraction,~treeheight ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,40,4008.05788627912,94.0629164797583,3.75402543280355e-21,1.12278406441951e-21,-1927.58449869512,1,1,0.864,0.941,0.829
PTCA,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,4396.10579786319,482.110828063825,2.04627431524024e-105,6.12016150052259e-106,-2193.80598535135,1,1,0.864,0.941,0.829
PTCA,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,3916.15623404747,0,1,0.367447359709916,-1939.64954559516,0.367447359709916,1,0.864,0.941,0.829
PTCA,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,3918.0263436215,1.87010957403209,0.392564357512591,0.144246736684221,-1939.07114282524,0.511694096394137,1,0.864,0.941,0.829
PTCA,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,3918.28290088413,2.1266668366643,0.345302850896289,0.126880620862148,-1939.19942145656,0.638574717256285,1,0.864,0.941,0.829
PTCA,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,3918.82390170732,2.66766765985585,0.263465241655373,0.096809607421602,-1939.46992186815,0.735384324677887,1,0.864,0.941,0.829
