species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
SBTH,contraction,~alt:treeheight ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,16,2423.9636336988,0,1,0.653016678140772,-1192.03978786389,0.653016678140772,1,0.707,0.916,0.578
SBTH,constant,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,15,2426.93068303048,2.96704933167439,0.226836753942625,0.148128183539849,-1195.03677008667,0.801144861680621,1,0.707,0.916,0.578
SBTH,shift,~alt:treeheight ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,17,2427.07404504429,3.11041134549214,0.211145951207187,0.137881827660191,-1192.03702252215,0.939026689340811,1,0.707,0.916,0.578
SBTH,expansion,~alt:treeheight ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,16,2429.97499185879,6.01135815998396,0.049505124971356,0.0323276722597387,-1195.04546694389,0.97135436160055,1,0.707,0.916,0.578
SBTH,year_num_contraction,~alt:treeheight ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,18,2430.46825542916,6.5046217303543,0.0386847093144032,0.0252617603713329,-1192.12965010264,0.996616121971883,1,0.707,0.916,0.578
SBTH,year_num_expansion,~alt:treeheight ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,18,2436.34197595182,12.3783422530159,0.0020515265046774,0.00133968102320219,-1195.06651036397,0.997955802995085,1,0.707,0.916,0.578
SBTH,year_num,~alt:treeheight ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,17,2436.54540064944,12.5817669506419,0.00185312203584973,0.00121011959604005,-1196.77270032472,0.999165922591125,1,0.707,0.916,0.578
SBTH,year_num_shift,~alt:treeheight ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,19,2437.28969716736,13.326063468563,0.00127726815684049,0.000834077408874964,-1193.88727282611,1,1,0.707,0.916,0.578
SBTH,year_fact_contraction,~alt:treeheight ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,40,2525.66916967377,101.705535974969,8.22097776394032e-23,5.36843559047746e-23,-1186.39014039244,1,1,0.707,0.916,0.578
SBTH,year_fact,~alt:treeheight ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,39,2532.35012018799,108.386486489188,2.91188019384024e-24,1.90150633132546e-24,-1193.26201661573,1,1,0.707,0.916,0.578
SBTH,year_fact_expansion,~alt:treeheight ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,40,2537.06745049249,113.103816793687,2.75307626424131e-25,1.79780471674307e-25,-1192.0892808018,1,1,0.707,0.916,0.578
