species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
SNPI,constant,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,14,2555.36133964743,0,1,0.411367056393408,-1260.72292334484,0.411367056393408,1,0.971,0.993,0.922
SNPI,contraction,~1 ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,15,2555.89933146978,0.53799182235025,0.764146380102538,0.31434464703646,-1259.52109430632,0.725711703429868,1,0.971,0.993,0.922
SNPI,expansion,~1 ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,15,2558.2900930558,2.92875340837327,0.231222066317937,0.0951171407944113,-1260.71647509933,0.820828844224279,1,0.971,0.993,0.922
SNPI,shift,~1 ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,16,2558.95684824225,3.59550859482079,0.165670517491149,0.0681513931115065,-1259.53639513562,0.888980237335786,1,0.971,0.993,0.922
SNPI,year_num,~1 ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,16,2559.67898640962,4.31764676218836,0.115460894617008,0.047496808347148,-1259.8974642193,0.936477045682934,1,0.971,0.993,0.922
SNPI,year_num_contraction,~1 ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,17,2559.80872804788,4.4473884004492,0.10820862521951,0.0445134636329272,-1258.40436402394,0.980990509315861,1,0.971,0.993,0.922
SNPI,year_num_expansion,~1 ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,17,2562.77829694705,7.41695729962339,0.0245147904973537,0.0100845772049975,-1259.88914847353,0.991075086520858,1,0.971,0.993,0.922
SNPI,year_num_shift,~1 ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,18,2563.02261819725,7.66127854982278,0.0216957416523558,0.00892491337980148,-1258.40683148669,0.99999999990066,1,0.971,0.993,0.922
SNPI,year_fact_contraction,~1 ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,39,2599.91961039776,44.5582707503299,2.11005825218074e-10,8.68008452018211e-11,-1227.04676172062,0.999999999987461,1,0.971,0.993,0.922
SNPI,year_fact,~1 ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,38,2604.31458305898,48.9532434115467,2.3438955664528e-11,9.64201419665248e-12,-1232.62537663587,0.999999999997103,1,0.971,0.993,0.922
SNPI,year_fact_shift,~1 ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,40,2606.95966623147,51.5983265840382,6.24547888703312e-12,2.56918426552599e-12,-1227.03538867129,0.999999999999672,1,0.971,0.993,0.922
SNPI,year_fact_expansion,~1 ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,39,2611.07613760248,55.7147979550546,7.97416731570119e-13,3.28030973584852e-13,-1232.62502532298,1,1,0.971,0.993,0.922
SNPI,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,3355.29443559683,799.933095949399,1.98031952166376e-174,8.14638212345224e-175,-1673.40030421817,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,14,2555.36133964743,0,1,0.38082438042168,-1260.72292334484,0.38082438042168,1,0.971,0.993,0.922
SNPI,,~alt:treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2558.27219600303,2.91085635560239,0.233300448438856,0.0888464987288275,-1260.70752657295,0.469670879150508,1,0.971,0.993,0.922
SNPI,,~alt ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2558.27388320796,2.91254356053423,0.233103718597809,0.0887715792090004,-1260.70837017541,0.558442458359508,1,0.971,0.993,0.922
SNPI,,~treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2558.28755401012,2.92621436269246,0.23151579442015,0.0881668589678869,-1260.71520557649,0.646609317327395,1,0.971,0.993,0.922
SNPI,,~dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2558.28756004953,2.92622040210199,0.231515095311859,0.0881665927304049,-1260.71520859619,0.7347759100578,1,0.971,0.993,0.922
SNPI,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,2558.29780229219,2.93646264476092,0.230332509087462,0.0877162350642038,-1260.72032971752,0.822492145122004,1,0.971,0.993,0.922
SNPI,,~alt + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.29576297167,5.93442332424229,0.0514465609181338,0.0195921046864745,-1260.70585250033,0.842084249808478,1,0.971,0.993,0.922
SNPI,,~alt:treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.29758107536,5.93624142792987,0.0513998145777171,0.0195743025403484,-1260.70676155217,0.861658552348827,1,0.971,0.993,0.922
SNPI,,~alt + treeheight ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.30497583677,5.94363618934403,0.0512101207961167,0.0195020625235006,-1260.71045893288,0.881160614872327,1,0.971,0.993,0.922
SNPI,,~alt + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.31010103139,5.94876138396239,0.051079057880822,0.0194521505699872,-1260.71302153019,0.900612765442314,1,0.971,0.993,0.922
SNPI,,~alt:treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.31391093786,5.95257129042693,0.0509818472846272,0.0194151304049209,-1260.71492648342,0.920027895847235,1,0.971,0.993,0.922
SNPI,,~dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.31602105187,5.95468140443836,0.0509280868946103,0.0193946571377015,-1260.71598154043,0.939422552984937,1,0.971,0.993,0.922
SNPI,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.31853262501,5.9571929775766,0.0508641722270871,0.0193703168740421,-1260.717237327,0.958792869858979,1,0.971,0.993,0.922
SNPI,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,2561.34100664776,5.97966700033157,0.0502958102705471,0.0191538707840875,-1260.72847433837,0.977946740643066,1,0.971,0.993,0.922
SNPI,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2564.08743618466,8.72609653722702,0.0127394949992706,0.00485151028998234,-1260.54371809233,0.982798250933049,1,0.971,0.993,0.922
SNPI,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2564.41646182556,9.05512217812839,0.0108070012708699,0.00411556956319536,-1260.70823091278,0.986913820496244,1,0.971,0.993,0.922
SNPI,,~alt + treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2564.41717890784,9.0558392604089,0.010803127210858,0.00411409422669158,-1260.70858945392,0.991027914722936,1,0.971,0.993,0.922
SNPI,,~alt + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2564.41759799929,9.05625835185901,0.0108008636988966,0.00411323222615132,-1260.70879899964,0.995141146949087,1,0.971,0.993,0.922
SNPI,,~alt:treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,2564.4515821039,9.09024245646924,0.0106188853294979,0.00404393042637491,-1260.72579105195,0.999185077375462,1,0.971,0.993,0.922
SNPI,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,18,2567.65534051653,12.2940008690994,0.00213989089573455,0.000814922624538105,-1260.72319264632,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,p,14,2555.36133964743,0,1,0.999999998822475,-1260.72292334484,0.999999998822475,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity,p,11,2596.48104199552,41.11970234809,1.17752486434427e-09,1.1775248629577e-09,-1285.45673721398,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time + rain + wind,p,10,2919.83031815051,364.468978503083,7.1873187468939e-80,7.18731873843066e-80,-1448.44849240859,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time + rain,p,7,3121.1164323354,565.755092687974,1.40553792500069e-123,1.40553792334563e-123,-1552.84026744975,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + time,p,6,3124.54114275519,569.179803107756,2.53615708675637e-124,2.53615708376999e-124,-1555.73892580797,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day + I(time^2),p,6,3227.64833317508,672.286993527648,1.03450889167268e-146,1.03450889045452e-146,-1607.29252101792,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ day,p,5,3258.25303544801,702.891695800581,2.33887800140159e-153,2.3388779986475e-153,-1623.75151772401,1,1,0.971,0.993,0.922
SNPI,,~1 ~ 1 ~ 1 ~ 1,p,4,3355.29443559683,799.933095949399,1.98031952166376e-174,1.98031951933189e-174,-1673.40030421817,1,1,0.971,0.993,0.922
