species,model,formula,step,K,AICc,Delta_AICc,ModelLik,AICcWt,LL,Cum.Wt,c_hat,p_value_SSE,p_value_Chisq,p_value_freemanTukey
TREM,contraction,~treeheight + canopy ~ 1 ~ alt ~ day + time + rain + wind + activity + location,g_e,17,3576.7904224286,0,1,0.756722828105861,-1766.8952112143,0.756722828105861,1,0.66,0.987,0.825
TREM,shift,~treeheight + canopy ~ alt ~ alt ~ day + time + rain + wind + activity + location,g_e,18,3579.99731184507,3.20688941647268,0.201202239875535,0.152254327979849,-1766.8941783106,0.90897715608571,1,0.66,0.987,0.825
TREM,year_num_contraction,~treeheight + canopy ~ year_num ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,19,3581.40040073716,4.60997830856013,0.0997598826154989,0.075490580504309,-1765.94262461101,0.984467736590019,1,0.66,0.987,0.825
TREM,year_num_shift,~treeheight + canopy ~ year_num + alt ~ year_num + alt ~ day + time + rain + wind + activity + location,g_e,20,3584.58222528747,7.79180285886559,0.0203250445954458,0.0153804252276435,-1765.8295741822,0.999848161817662,1,0.66,0.987,0.825
TREM,expansion,~treeheight + canopy ~ alt ~ 1 ~ day + time + rain + wind + activity + location,g_e,17,3595.37016110282,18.5797386742161,9.23551268796914e-05,6.98872328024757e-05,-1776.18508055141,0.999918049050465,1,0.66,0.987,0.825
TREM,constant,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,g_e,16,3596.82106820673,20.0306457781308,4.47095743026027e-05,3.38327555096747e-05,-1778.46850511786,0.999951881805974,1,0.66,0.987,0.825
TREM,year_num_expansion,~treeheight + canopy ~ year_num + alt ~ year_num ~ day + time + rain + wind + activity + location,g_e,19,3596.91057915957,20.1201567309645,4.27526932108249e-05,3.23519389156377e-05,-1773.69771382221,0.99998423374489,1,0.66,0.987,0.825
TREM,year_num,~treeheight + canopy ~ year_num ~ year_num ~ day + time + rain + wind + activity + location,g_e,18,3598.34818326192,21.557760833321,2.08349140855825e-05,1.57662551101846e-05,-1776.06961401902,1,1,0.66,0.987,0.825
TREM,year_fact_shift,~treeheight + canopy ~ year_fact + alt ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,42,3657.54954591573,80.7591234871243,2.90655906699141e-18,2.19945959723047e-18,-1744.77477295786,1,1,0.66,0.987,0.825
TREM,year_fact_expansion,~treeheight + canopy ~ year_fact + alt ~ year_fact ~ day + time + rain + wind + activity + location,g_e,41,3660.27486497747,83.484442548865,7.44018335071293e-19,5.63015658677763e-19,-1750.00106885237,1,1,0.66,0.987,0.825
TREM,year_fact_contraction,~treeheight + canopy ~ year_fact ~ year_fact + alt ~ day + time + rain + wind + activity + location,g_e,41,3667.31357660948,90.5231541808744,2.20367135995366e-20,1.66756842372002e-20,-1753.52042466837,1,1,0.66,0.987,0.825
TREM,year_fact,~treeheight + canopy ~ year_fact ~ year_fact ~ day + time + rain + wind + activity + location,g_e,40,3671.77624061389,94.9858181852897,2.3664190431026e-21,1.79072331078017e-21,-1759.4436758625,1,1,0.66,0.987,0.825
TREM,nullmodel,~1 ~ 1 ~ 1 ~ 1,g_e,4,4223.85117110568,647.060748677076,3.10844864457072e-141,2.35223404934139e-141,-2107.67867197259,1,1,0.66,0.987,0.825
TREM,,~treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,3596.82106820673,0,1,0.355255626629291,-1778.46850511786,0.355255626629291,1,0.66,0.987,0.825
TREM,,~treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,3599.19026309839,2.36919489165985,0.305869283674642,0.108661784038487,-1778.0951315492,0.463917410667779,1,0.66,0.987,0.825
TREM,,~treeheight + dbh ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,16,3599.24203810711,2.42096990037817,0.2980527036617,0.105884900007892,-1779.67899006805,0.56980231067567,1,0.66,0.987,0.825
TREM,,~canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,15,3600.16659863008,3.34553042335028,0.187727241697878,0.0666911588847681,-1781.65472788647,0.636493469560439,1,0.66,0.987,0.825
TREM,,~alt + treeheight + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,17,3600.4811896667,3.66012145997183,0.160403826157268,0.0569843617752362,-1778.74059483335,0.693477831335675,1,0.66,0.987,0.825
TREM,,~alt + treeheight + dbh + canopy ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,18,3601.21494761764,4.39387941091127,0.111142768051159,0.0394840937093286,-1777.50299619688,0.732961925045003,1,0.66,0.987,0.825
TREM,,~1 ~ 1 ~ 1 ~ day + time + rain + wind + activity + location,psi,14,3601.34500366026,4.52393545352925,0.104145353400428,0.036998222782798,-1783.71475535126,0.769960147827801,1,0.66,0.987,0.825
