Year,Occupancy,lower_cl,upper_cl
2011,0.545711706675672,0.372093023255814,0.976744186046512
2012,0.984631490314366,0.790697674418605,1
2013,0.972241724986557,0.837209302325582,1
2014,0.895829953209132,0.581395348837209,1
2015,0.9948993898038,0.953488372093023,1
2016,0.98486940982284,0.918604651162791,1
2017,0.932251714465156,0.802325581395349,1
2018,0.865946608591755,0.651162790697675,0.965116279069768
2019,0.921112386007028,0.511627906976744,1
2021,0.956161433936462,0.872093023255814,0.988372093023256
2022,0.932472083287379,0.767441860465116,1
2023,0.98688615328405,0.941860465116279,1
2024,0.963917459237182,0.86046511627907,0.988372093023256
