Year,Occupancy,lower_cl,upper_cl
2011,0.737537071099554,0.558139534883721,1
2012,0.890723488449247,0.709302325581395,1
2013,0.900681985168612,0.697674418604651,1
2014,0.940895147227518,0.802325581395349,1
2015,0.93015408491254,0.848837209302326,1
2016,0.951232833931363,0.872093023255814,0.988372093023256
2017,0.932747214840839,0.802325581395349,1
2018,0.939763722688483,0.790697674418605,1
2019,0.941287203959008,0.686046511627907,1
2021,0.910337845362862,0.744186046511628,1
2022,0.938474727546294,0.813953488372093,1
2023,0.957006975033029,0.86046511627907,1
2024,0.932465741145239,0.709302325581395,1
