Year,Occupancy,lower_cl,upper_cl
2011,0.965863063112226,0.965116279069768,0.976744186046512
2012,0.999999351452839,1,1
2013,1,1,1
2014,0.988464393237669,0.941860465116279,1
2015,0.977016796091237,0.965116279069768,1
2016,0.989823685240284,0.988372093023256,1
2017,0.999999600441931,1,1
2018,0.990842757988075,0.965116279069768,1
2019,0.989254179162486,0.965116279069768,1
2021,0.999999977560135,1,1
2022,0.987293374890409,0.965116279069768,1
2023,0.999999977560135,1,1
2024,0.99485824675131,0.976744186046512,1
