Year,Occupancy,lower_cl,upper_cl
2011,0.999949483837554,1,1
2012,0.997744125655476,0.976744186046512,1
2013,0.996877152158876,0.941860465116279,1
2014,0.946002683366157,0.825581395348837,1
2015,0.999092855061537,0.988372093023256,1
2016,0.999635753621938,1,1
2017,0.989810050714009,0.976744186046512,1
2018,0.902699130084388,0.825581395348837,0.965116279069768
2019,0.980556569512337,0.813953488372093,1
2021,0.999817876811152,1,1
2022,0.9988952533312,0.988372093023256,1
2023,0.999817876811152,1,1
2024,0.999817876811152,1,1
