Year,Occupancy,lower_cl,upper_cl
2011,0.907029195308306,0.906976744186047,0.906976744186047
2012,0.914852363017168,0.697674418604651,1
2013,0.926288195418439,0.72093023255814,1
2014,0.898091174680105,0.662790697674419,1
2015,0.885420340994992,0.651162790697675,1
2016,0.895587635812966,0.790697674418605,0.988372093023256
2017,0.881626114612359,0.744186046511628,1
2018,0.945168904332268,0.825581395348837,1
2019,0.937498264651644,0.72093023255814,1
2021,0.921860073557676,0.802325581395349,0.988372093023256
2022,0.924476482902271,0.767441860465116,1
2023,0.955907503896724,0.895348837209302,1
2024,0.917587234450477,0.744186046511628,0.988372093023256
